claim_amount,days_to_report,num_prior_claims,policy_age_years,claim_type,is_fraud
511.14,3,0,7.84,home,0
4772.65,2,1,3.54,auto,0
23052.85,2,2,16.79,home,0
754.6,3,1,10.43,health,0
3652.48,3,0,11.36,health,0
10493.04,3,2,17.73,home,0
6750.17,3,1,0.81,auto,0
5970.37,6,1,1.8,auto,0
6061.44,6,1,3.65,health,0
2227.46,3,3,1.09,health,0
1737.81,3,0,13.33,auto,0
8286.87,3,0,12.86,auto,0
8306.64,2,0,4.61,home,0
10089.75,3,1,3.41,auto,0
12223.08,3,3,3.34,home,0
3580.47,3,2,19.09,home,0
3480.92,1,1,14.02,health,0
8004.75,4,4,11.92,health,0
5248.6,1,0,6.79,auto,0
6052.75,4,0,8.94,home,0
7943.1,2,0,2.24,auto,0
11036.62,2,0,19.96,health,0
2062.41,5,1,15.22,health,0
2354.68,4,2,12.62,auto,0
493.48,1,1,11.96,auto,0
4317.07,1,1,10.33,auto,0
183.02,5,0,5.52,home,0
3133.03,3,1,4.91,auto,0
3911.47,1,2,11.22,home,0
1688.15,1,0,1.87,home,0
4468.16,5,2,1.95,home,0
154.88,4,0,11.44,health,0
190.32,4,0,18.44,auto,0
8646.76,1,0,18.33,life,0
2232.93,0,0,0.71,auto,0
679.45,4,1,2.59,auto,0
3693.27,2,0,11.87,home,0
7348.24,4,0,17.05,home,0
1215.59,1,1,19.11,auto,0
4876.1,1,2,17.28,home,0
446.06,4,0,13.71,auto,0
265.33,2,0,4.41,health,0
3789.54,1,2,1.92,home,0
3889.55,1,2,1.43,home,0
5072.69,3,2,12.44,life,0
6474.8,4,1,1.21,health,0
18617.79,2,0,14.92,home,0
3631.46,2,1,14.39,home,0
1950.1,4,0,2.05,home,0
7928.27,3,0,18.18,auto,0
1579.26,1,0,10.68,auto,0
2889.92,1,0,18.14,auto,0
408.53,3,1,18.08,health,0
128.39,2,0,4.34,auto,0
16436.9,3,1,7.92,auto,1
9038.84,2,1,3.13,auto,0
5953.21,6,0,15.61,home,0
2629.3,7,0,10.33,home,0
951.53,4,2,18.61,home,0
850.6,2,0,4.56,auto,0
1440.03,2,0,13.92,life,0
3983.95,0,0,19.79,home,0
6269.25,5,2,13.47,home,0
5396.95,2,0,1.84,life,0
1642.06,4,1,11.97,life,0
15490.52,4,0,4.01,home,0
6695.09,4,1,1.09,life,0
4041.15,5,2,7.03,home,0
4730.15,3,1,5.69,auto,0
2720.19,3,0,15.88,auto,0
1423.31,5,1,7.79,home,0
2200.07,4,0,14.79,home,0
7090.91,3,2,0.82,home,0
72.49,4,3,0.79,health,1
616.9,3,1,1.07,home,0
235.47,3,2,4.78,auto,0
207.91,4,0,7.79,auto,0
9671.02,3,2,12.35,life,0
6081.2,1,1,19.73,health,0
3213.92,3,0,7.41,home,0
514.78,2,0,1.59,health,0
3382.59,2,1,4.3,health,0
3207.25,4,0,18.01,life,0
950.97,4,0,14.14,auto,0
2844.5,1,1,15.91,home,0
2541.68,7,2,2.92,auto,0
4783.61,3,1,3.13,life,0
5040.57,2,1,2.69,life,0
231.81,6,1,17.21,health,0
2346.92,0,0,4.59,home,0
4915.62,6,1,13.04,home,0
3497.2,3,1,10.57,home,0
9706.75,3,1,11.12,auto,0
5374.87,5,0,4.31,home,0
889.26,5,2,12.89,auto,0
365.91,2,1,1.34,life,0
5141.97,4,0,19.87,home,0
134.35,3,1,1.02,life,0
4406.74,6,0,1.48,health,0
14086.28,1,2,6.83,auto,0
4283.91,3,1,16.72,auto,0
2456.5,5,1,5.52,life,0
5154.14,3,1,9.7,health,0
3064.78,2,2,0.85,auto,0
3944.07,0,1,2.04,auto,0
14190.64,1,0,12.36,home,0
2439.64,4,1,4.29,auto,0
16245.46,6,1,14.04,auto,0
11787.88,2,2,15.82,health,0
1089.48,4,1,17.08,home,0
359.42,1,0,3.11,home,0
531.13,1,1,9.38,life,0
91.95,9,0,18.97,home,0
496.03,2,1,15.56,health,0
5744.37,2,0,2.78,auto,0
369.25,3,1,10.3,auto,0
1920.79,4,1,18.49,auto,0
9317.63,2,1,9.08,auto,0
117.74,1,1,16.83,life,0
8422.65,2,1,10.17,life,0
1655.42,1,3,2.58,health,0
628.75,0,2,3.38,home,0
5965.78,3,0,1.41,health,0
4957.0,2,1,4.31,home,0
10497.08,6,0,17.93,auto,0
6641.47,2,1,13.18,home,0
8134.98,2,1,14.91,home,0
1656.67,2,1,12.62,auto,0
976.67,6,1,8.04,auto,0
6943.78,1,2,4.73,auto,0
8221.05,4,1,18.55,home,0
23285.02,4,0,10.54,auto,1
2660.4,2,0,9.88,health,0
2326.22,3,0,19.92,home,0
7489.77,0,3,7.99,auto,0
2083.67,3,3,17.16,health,0
13350.69,4,0,17.32,home,0
9774.2,2,1,5.04,auto,0
2801.78,4,1,2.35,health,0
6948.92,0,2,19.52,auto,0
7023.16,2,0,8.8,health,0
544.19,4,1,0.54,home,0
11642.23,4,0,10.23,auto,0
3518.54,2,0,12.58,home,0
8756.66,3,0,15.63,auto,0
1928.68,4,2,18.89,auto,0
11293.95,4,2,18.35,auto,0
2464.94,3,1,18.83,auto,0
54.48,3,1,1.13,health,0
11789.54,3,0,14.38,health,0
478.63,2,0,4.9,health,0
1923.27,3,0,4.16,auto,0
14984.86,4,1,16.11,home,0
15039.75,5,1,8.63,auto,1
4259.99,5,2,18.37,home,0
4996.15,1,0,1.33,health,0
2975.07,5,1,16.14,auto,0
1735.11,4,0,3.17,life,0
1992.43,2,3,3.94,health,0
5581.62,2,2,9.81,health,0
6979.19,1,2,8.21,home,0
7840.98,3,0,9.98,health,0
7794.16,5,1,18.83,life,0
478.18,1,1,13.32,health,0
3410.25,2,2,6.16,auto,0
296.41,3,1,3.87,home,0
3987.31,3,2,8.69,auto,0
2912.78,3,0,9.31,life,0
10933.09,3,1,12.23,life,0
2160.96,5,0,5.69,home,0
622.53,4,1,15.47,health,0
771.54,3,5,2.42,life,0
7167.15,5,0,11.43,auto,0
4814.53,4,1,12.66,home,0
533.04,1,1,4.53,home,0
439.28,3,0,16.61,health,0
6036.04,3,0,12.5,auto,0
377.73,1,0,13.09,health,0
8625.93,5,0,10.21,home,0
6125.0,3,2,18.24,auto,0
424.24,2,2,14.03,auto,0
443.27,3,0,7.95,auto,0
21577.29,3,0,5.15,auto,0
2344.19,3,1,1.89,home,0
2315.28,1,1,3.72,home,0
8377.88,5,2,19.86,auto,0
14710.82,1,0,8.43,home,0
21343.87,4,0,18.02,home,0
6999.5,2,2,3.83,auto,0
2360.1,3,3,8.79,home,0
435.97,4,1,19.23,health,0
7506.21,3,3,2.28,auto,0
4086.8,8,0,12.08,auto,0
2760.17,2,1,18.42,life,0
11841.19,2,1,19.02,health,0
589.4,1,1,17.0,home,0
3392.53,1,0,17.19,home,0
57.09,5,0,13.22,health,0
3161.77,2,4,4.8,health,0
289.75,0,0,14.75,auto,0
632.45,2,1,19.58,home,0
625.13,5,1,10.76,home,0
5237.84,4,0,5.58,auto,0
6852.99,4,1,11.68,life,0
4377.77,4,0,13.97,home,0
16373.6,4,1,4.56,auto,0
2348.98,1,0,14.52,life,0
1682.35,3,2,11.95,auto,0
10147.51,1,2,12.44,auto,0
1265.41,4,0,6.47,home,0
16514.35,4,2,3.53,auto,1
61.14,3,0,12.66,health,0
17512.63,3,0,11.93,auto,1
220.59,3,0,7.09,auto,0
11088.61,4,0,6.27,auto,0
3750.72,2,1,7.27,health,0
24784.14,3,3,10.05,auto,1
383.31,4,0,19.51,home,0
4035.55,5,2,15.39,health,0
17417.88,2,0,17.11,life,0
3702.22,2,0,10.36,health,0
4963.14,1,1,10.76,home,0
5949.51,2,0,4.48,home,0
3030.64,4,0,14.56,home,0
4938.37,2,1,8.72,health,0
4389.13,2,1,14.98,health,0
11571.16,4,1,8.48,life,0
232.56,3,1,2.62,health,0
1649.21,4,1,3.87,auto,0
15019.98,1,0,16.33,health,0
11048.38,3,0,5.54,health,0
3040.88,6,0,5.65,health,0
4839.67,3,0,18.62,life,0
1624.37,1,0,13.32,home,0
1042.02,3,1,2.73,home,0
3115.29,6,1,3.3,auto,0
2179.77,4,5,5.81,home,0
4381.22,4,2,12.08,home,0
404.61,1,1,15.18,life,0
18324.8,5,2,5.85,life,0
21419.33,0,1,17.48,health,0
5989.32,5,2,2.63,auto,0
3840.39,2,0,4.55,home,0
1851.9,0,0,19.42,home,0
8404.54,3,2,3.13,auto,0
5771.65,6,0,17.82,auto,0
887.37,3,2,14.23,health,0
12091.51,2,0,1.93,auto,0
8644.97,2,3,9.93,auto,1
14958.69,2,1,10.62,home,0
6468.02,3,2,18.68,life,0
4752.02,7,0,8.71,health,0
2708.51,0,2,9.21,life,0
13495.09,3,1,2.69,health,0
10051.96,3,0,12.96,home,0
231.36,4,0,4.61,life,0
133.6,3,2,2.01,home,0
2361.74,3,2,19.94,auto,0
8318.24,3,0,5.76,home,0
21821.38,3,0,3.25,health,0
815.05,7,0,14.14,life,0
4508.62,2,1,16.52,auto,0
2397.37,2,0,1.75,home,0
17518.54,3,1,2.56,health,0
9229.57,3,1,2.26,auto,0
9110.95,4,0,1.42,health,0
3162.08,2,0,13.36,home,0
2679.17,3,0,11.97,auto,0
1596.94,3,0,13.42,home,0
290.13,3,2,10.36,home,0
10002.13,2,1,16.44,health,0
8380.59,3,0,11.16,life,0
40862.23,1,0,18.42,home,0
28474.37,5,1,9.97,health,0
4053.26,4,2,15.92,health,0
7326.42,3,1,8.44,auto,0
14480.86,4,2,8.99,home,0
9473.86,3,0,17.06,home,0
1420.76,3,0,2.6,auto,0
2994.13,4,0,11.52,auto,0
691.48,3,0,14.66,life,0
15401.12,4,2,15.13,home,0
4659.24,2,0,12.03,auto,0
1298.02,5,0,9.24,auto,0
5569.15,4,0,5.59,auto,0
4813.35,2,0,18.23,home,0
2217.1,3,1,7.71,auto,0
602.7,4,2,16.08,auto,0
5567.21,4,0,1.12,auto,0
3673.05,4,1,5.03,home,0
7399.04,5,0,7.24,auto,0
3671.55,2,0,13.6,auto,0
9558.85,3,1,6.73,auto,0
4013.77,3,1,1.31,auto,0
4115.57,3,0,3.89,auto,0
10463.79,2,0,5.55,home,0
2583.24,3,0,3.93,home,0
719.44,2,1,4.47,auto,0
146.03,6,2,15.49,health,0
7035.29,4,2,8.53,home,0
4841.99,2,2,8.4,auto,0
6088.33,1,1,19.35,auto,0
1197.41,4,1,9.21,life,0
733.06,4,2,18.59,life,0
73.26,2,3,6.33,auto,0
2158.44,6,2,8.31,auto,0
4456.99,3,1,8.23,home,0
2489.91,0,0,11.15,home,0
2876.6,3,2,11.89,home,0
11725.31,1,1,5.34,home,0
2140.51,2,2,15.97,auto,0
3607.63,3,2,10.18,auto,0
7654.36,2,0,0.64,home,0
2525.4,3,0,12.03,life,0
4865.45,3,1,16.06,auto,0
9915.7,2,0,5.38,health,0
14930.95,5,0,1.24,home,0
795.41,1,1,16.24,auto,0
13058.31,3,1,19.54,health,0
3387.51,3,2,1.99,home,0
1493.68,3,0,18.79,home,0
3072.93,4,3,7.51,home,0
19568.27,4,4,18.86,auto,1
3392.46,1,1,13.15,home,0
1993.08,4,1,17.86,home,0
5017.43,2,1,15.82,auto,0
1373.14,1,1,1.05,home,0
394.48,3,1,1.78,auto,0
689.88,4,1,10.75,auto,0
685.09,0,1,3.03,health,0
823.8,4,1,9.49,auto,0
747.3,3,3,19.12,home,0
5120.42,4,0,6.25,life,0
1003.73,0,1,10.03,auto,0
2120.7,2,1,7.99,home,0
11354.87,6,2,12.78,home,0
3211.91,4,1,4.28,home,0
5506.45,4,0,5.57,home,0
945.64,2,0,17.25,home,0
1067.75,1,1,16.32,auto,0
208.64,2,1,15.89,auto,0
925.24,3,0,15.53,health,0
1632.74,2,0,9.46,auto,0
974.06,4,0,14.71,health,0
464.43,3,1,8.05,health,0
642.78,3,3,2.46,auto,0
3088.15,1,1,8.17,auto,0
1155.46,3,1,3.59,auto,0
2264.91,4,0,8.12,home,0
3500.03,3,1,6.3,health,0
5862.29,2,1,12.18,auto,0
200.53,2,2,7.55,auto,0
8032.47,4,2,14.26,auto,0
4942.97,1,1,10.49,auto,0
426.48,4,0,18.43,home,0
10340.67,1,1,2.27,home,0
12683.47,2,2,13.91,auto,0
315.11,1,0,13.61,home,0
1620.88,1,0,19.04,auto,0
8204.68,2,0,7.75,auto,0
6896.79,4,0,6.46,auto,0
1019.9,3,1,3.86,home,0
1174.5,4,1,5.67,home,0
2313.93,2,2,10.29,auto,0
3313.31,3,3,16.84,auto,1
4815.01,5,2,6.04,auto,0
2301.56,5,1,3.58,auto,0
3104.46,3,0,5.81,home,0
6881.14,4,1,2.47,auto,0
186.86,4,0,18.57,home,0
1454.68,3,1,17.52,auto,0
6247.46,2,0,6.52,home,0
11278.83,3,1,5.32,health,0
3583.9,3,0,18.16,home,0
3797.65,5,0,0.53,auto,0
566.81,3,2,12.21,auto,0
2965.72,2,0,18.36,auto,0
3803.03,4,2,10.42,home,0
1388.46,4,2,0.56,auto,0
1568.37,1,0,4.77,auto,0
2368.32,5,0,18.49,health,0
101.38,2,0,0.83,auto,0
1943.62,1,2,8.2,life,0
1187.78,2,1,15.9,health,0
1983.75,5,1,16.84,health,0
637.82,4,1,9.81,health,0
11060.4,5,0,5.03,auto,0
4501.99,4,0,12.19,auto,0
5683.16,1,0,5.64,auto,0
7783.55,2,0,5.48,auto,0
3450.18,1,1,16.25,auto,0
454.66,4,1,3.51,health,0
3851.29,2,0,0.61,auto,0
4419.62,2,2,7.07,auto,0
6841.08,3,0,10.07,home,0
2825.17,4,1,14.25,auto,0
682.42,2,0,15.73,auto,0
1668.81,3,1,13.44,auto,0
2255.57,4,0,12.72,health,0
5191.12,2,1,13.48,home,0
4228.91,3,2,5.79,home,0
2201.03,2,0,7.96,auto,0
21530.98,5,2,12.52,life,0
4654.17,7,0,1.78,auto,0
1353.97,4,0,6.26,health,0
536.72,2,1,8.43,life,0
829.44,0,1,10.9,home,0
1411.53,3,2,9.99,home,0
875.82,3,2,14.5,auto,0
1032.46,2,0,9.73,auto,0
1678.03,1,1,18.13,health,0
952.01,7,1,7.92,auto,0
11353.76,4,1,10.74,life,0
418.18,7,1,0.56,home,0
3717.06,4,3,6.55,home,0
2641.53,2,2,17.4,home,0
20193.21,2,1,7.0,auto,1
594.14,4,1,5.44,auto,0
2536.29,2,0,11.1,auto,0
17445.3,5,1,2.04,auto,0
10031.22,4,1,10.87,life,0
8493.32,0,0,6.42,auto,0
1491.38,0,0,7.97,home,0
937.0,4,2,15.93,auto,0
5522.8,2,2,13.41,health,0
13251.93,2,1,9.2,home,0
4068.25,5,0,11.76,home,0
4238.64,3,0,15.45,life,0
1642.38,4,0,15.04,health,0
7337.37,0,3,4.11,home,0
1035.39,2,3,6.37,life,0
1955.44,3,0,7.29,home,0
2770.72,3,4,4.16,health,0
3542.42,2,0,0.74,home,0
1388.06,3,2,3.89,auto,0
609.92,2,1,16.26,life,0
4716.0,2,2,11.15,auto,0
1702.82,4,0,7.16,auto,0
4352.27,4,0,12.36,auto,0
838.32,1,1,14.93,auto,0
3280.61,4,0,7.41,auto,0
3802.74,1,1,9.59,home,0
266.07,5,0,1.75,life,0
2051.92,1,0,12.14,auto,0
721.75,4,0,7.45,health,0
327.36,3,1,8.95,auto,0
23006.01,2,1,8.74,auto,1
1945.65,2,1,12.83,home,0
8300.35,1,2,11.66,health,0
1469.44,2,2,8.73,auto,0
5720.71,1,3,0.83,auto,1
7140.33,3,0,12.61,auto,0
4527.23,1,1,17.65,life,0
3189.28,1,2,15.51,auto,0
2653.79,2,1,19.64,home,0
2145.22,5,1,3.21,health,0
13262.78,6,2,4.84,home,0
8878.04,2,1,11.02,life,0
16765.88,3,2,5.1,life,0
663.64,5,1,1.17,home,0
6562.76,5,2,8.34,home,0
13930.64,0,1,6.11,auto,0
999.78,3,0,5.64,life,0
344.05,3,1,19.09,auto,0
6756.97,1,1,5.15,health,0
4272.14,1,1,3.02,auto,0
9220.39,0,4,2.94,auto,1
752.79,3,0,16.22,auto,0
7930.25,2,2,14.44,home,0
1125.9,1,0,3.02,auto,0
893.58,6,3,4.79,auto,1
897.22,0,1,15.07,auto,0
8425.52,1,1,5.86,auto,0
5471.07,3,2,19.64,home,0
3701.88,2,1,11.04,auto,0
2222.31,2,0,4.24,auto,0
10486.01,6,0,17.25,home,0
2491.56,3,3,6.73,health,0
8480.41,1,1,6.13,home,0
2891.37,3,3,6.89,life,0
2365.6,4,1,15.48,auto,0
3105.81,0,0,3.88,health,0
1793.23,2,0,7.94,home,0
6883.89,1,1,1.1,home,0
3493.01,3,2,16.62,home,0
1321.21,5,1,7.14,auto,0
11491.7,4,1,5.34,auto,0
2421.66,2,2,11.81,home,0
3921.41,3,1,14.25,auto,0
11847.48,3,1,16.35,home,0
4894.0,5,0,7.28,health,0
621.57,1,2,16.34,auto,0
14053.08,4,1,9.57,auto,0
4940.38,0,1,2.47,auto,0
2039.13,2,1,17.0,auto,0
749.88,2,1,11.18,auto,0
7900.01,1,0,12.25,auto,0
4838.88,4,0,18.78,auto,0
3812.07,5,1,11.4,auto,0
11216.52,2,3,0.61,auto,1
7769.95,4,1,17.48,life,0
822.46,4,2,6.05,life,0
1867.81,2,0,10.28,auto,0
1428.35,2,1,4.5,auto,0
6811.84,3,1,6.29,home,0
170.54,3,3,13.89,auto,0
4218.57,3,1,8.88,home,0
7187.07,4,1,12.73,auto,0
10468.34,5,0,16.56,auto,0
2093.37,4,2,7.15,health,0
8609.04,4,1,11.58,health,0
586.22,2,0,15.66,life,0
9368.72,2,1,14.44,auto,0
681.9,5,0,11.03,health,0
2531.57,2,2,7.98,home,0
7980.03,1,0,8.45,home,0
812.11,2,1,8.95,health,0
1301.97,4,1,7.3,life,0
6405.22,2,2,14.13,health,0
6365.48,4,0,2.95,auto,0
5124.22,1,0,19.37,home,0
5920.01,3,0,15.69,home,0
3912.35,5,4,6.31,health,0
1450.42,4,0,1.33,home,0
2120.92,1,0,14.37,auto,0
1002.01,2,1,14.82,home,0
11954.38,2,3,19.29,auto,0
4378.05,7,0,5.45,life,0
2561.23,2,2,2.11,auto,0
3099.54,3,2,18.35,home,0
14714.12,3,0,5.54,health,0
832.35,6,2,14.57,home,0
4412.22,2,3,1.68,health,0
3524.97,2,1,15.33,health,0
4726.72,2,2,2.98,auto,0
91.38,1,2,14.06,home,0
10283.47,3,1,10.88,home,0
13449.94,5,0,19.13,home,0
4163.58,4,0,1.22,home,0
5964.35,4,3,6.19,home,0
12787.35,3,1,1.86,auto,0
6141.99,2,1,17.64,home,0
827.55,4,0,12.08,auto,0
4293.51,3,1,10.93,auto,0
4666.1,3,2,3.06,home,0
2759.37,1,2,10.04,home,0
6667.45,4,2,8.27,auto,0
13618.38,3,1,6.66,health,0
12989.38,1,0,15.56,auto,0
2996.82,1,0,1.69,life,0
600.89,1,0,13.11,auto,0
